Tue Jun  9 11:52:52 2020    profile.out

         524392 function calls (519748 primitive calls) in 77.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004   77.301   77.301 examples.py:1(<module>)
        1    0.000    0.000   76.062   76.062 examples.py:356(main)
        1    0.000    0.000   76.062   76.062 examples.py:291(benchmark_update_A_optimal)
        1    0.025    0.025   76.058   76.058 diffnet.py:317(update_A_optimal)
        1    0.975    0.975   76.031   76.031 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/coneprog.py:3566(sdp)
        1    0.119    0.119   75.052   75.052 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/coneprog.py:31(conelp)
       32    0.000    0.000   56.872    1.777 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/coneprog.py:584(kktsolver)
       32   24.548    0.767   56.872    1.777 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/misc.py:1614(factor)
      530   16.361    0.031   16.361    0.031 {cvxopt.misc_solvers.scale}
       33   14.881    0.451   14.881    0.451 {cvxopt.lapack.geqrf}
      157    0.012    0.000   12.293    0.078 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/misc.py:1629(solve)
      660   12.137    0.018   12.137    0.018 {cvxopt.lapack.ormqr}
       62    0.003    0.000   10.417    0.168 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/coneprog.py:1211(f6)
      124    0.006    0.000    9.815    0.079 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/coneprog.py:1130(f6_no_ir)
      128    2.248    0.018    2.248    0.018 {cvxopt.misc_solvers.max_step}
       31    0.131    0.004    1.578    0.051 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/misc.py:422(update_scaling)
       32    1.355    0.042    1.355    0.042 {cvxopt.misc_solvers.pack2}
      960    1.265    0.001    1.265    0.001 {cvxopt.lapack.gesvd}
        1    0.007    0.007    1.021    1.021 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/__init__.py:54(<module>)
      186    0.597    0.003    0.597    0.003 {cvxopt.misc_solvers.scale2}
       62    0.004    0.000    0.583    0.009 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/coneprog.py:599(res)
        1    0.003    0.003    0.432    0.432 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/drawing/__init__.py:3(<module>)
        1    0.003    0.003    0.424    0.424 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/drawing/nx_pydot.py:15(<module>)
        1    0.011    0.011    0.418    0.418 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:16(<module>)
